applicant_profile_id,profile_name,profile_source,overall_rank,decision_rank,decision_rank_label,rank_band,rank_confidence,school_id,school_name,degree_type,city,state,state_abbrev,applicant_state_abbrev,admissions_fit_tier,application_bucket,dynamic_tier,suggested_funnel_bucket,overall_school_value,admissions_score,attendance_score,admissions_mcat_fit_score,admissions_gpa_fit_score,admissions_oos_friendliness_score,attendance_cost_score,four_year_happiness_score,regret_index_score,data_completeness_score,admissions_data_coverage,attendance_data_coverage,overall_data_coverage,profile_aamc_mcat_band,profile_aamc_gpa_band,profile_aamc_acceptance_rate,profile_aamc_acceptance_rate_band,school_mcat_for_fit,school_gpa_for_fit,published_mcat_average,published_gpa_average,published_mcat_band,published_gpa_band,stats_data_quality_rank,stats_data_quality_band,stats_data_confidence,stats_source_name,stats_source_url,cost_basis,cost_basis_adjusted,cost_data_confidence,debt_burden_score,excluded_from_rank,hard_no_flag,hard_no_reason,missing_score_inputs,score_warnings,top_positive_drivers,top_negative_drivers,top_positive_contributors,top_negative_contributors,missing_or_low_confidence_drivers,rank_summary,balanced_rank,balanced_score,balanced_coverage,prestige_maximizer_rank,prestige_maximizer_score,prestige_maximizer_coverage,lifestyle_maximizer_rank,lifestyle_maximizer_score,lifestyle_maximizer_coverage,financial_maximizer_rank,financial_maximizer_score,financial_maximizer_coverage,specialty_optionality_rank,specialty_optionality_score,specialty_optionality_coverage,admissions_realist_rank,admissions_realist_score,admissions_realist_coverage,application_unit_type,parent_school_name,campus_name,accreditation_status,manual_exclusion_flag,exclusion_reason,research_stage,data_confidence,source_name,source_url,last_verified_date,notes,academic_im_strength_score,academic_surgery_strength_score,admissions_clinical_fit_score,admissions_mission_fit_score,admissions_research_fit_score,airport_access_score,attendance_culture_score,attendance_curriculum_score,attendance_location_score,attendance_match_outcomes_score,attendance_prestige_score,attendance_research_score,cost_of_living_score,dating_score,derm_strength_score,ent_strength_score,family_access_score,hidden_curriculum_score,national_mobility_score,neurosurgery_strength_score,ophtho_strength_score,ortho_strength_score,outdoor_activities_score,plastics_strength_score,political_cultural_fit_score,residency_goal_alignment_score,social_life_score,weather_score,wellness_reputation_score
template_profile,Template Profile,public_template,1,1,Decision Rank 1,Top application candidate,partial,md_nyu_grossman_long_island_school_of_medicine_mineola_new_york,NYU Grossman Long Island School of Medicine,MD,Mineola,New York,NY,,Unscored,Unscored,Unscored,25-35 application pool,10.00,,10.00,,,,10.0,,,0.95,0,15,45,,,,,,,,,,,,,,,,27944,27944,aamc_public_report_safe_match,10.0,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit,Cost 10,,Cost 10,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit,Cost helps this school. Rank confidence is partial because scored input coverage is limited.,1,8.35,55,,,0,,,0,1,10.00,60,,,0,1,10.00,25,MD program,NYU Grossman Long Island School of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,2,2,Decision Rank 2,Top application candidate,partial,md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,MD,New York,New York,NY,,Unscored,Unscored,Unscored,25-35 application pool,9.40,,9.40,,,,9.4,,,0.95,0,15,45,,,,,498.5,3.64,498.5,3.64,498-501,3.60-3.79,2,medium,assumed_match_no_match_third_party_candidate_major_conflict,ProspectiveDoctor; Shemmassian,http://www.sanjuanbautista.edu/school/md-program/admissions.html; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,35258,35258,aamc_public_report_safe_match,9.4,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,Cost 9.4,,Cost 9.4,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,Cost helps this school. Rank confidence is partial because scored input coverage is limited.,2,7.86,55,,,0,,,0,2,9.40,60,,,0,2,9.40,25,MD program,NYU Grossman School of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,3,3,Decision Rank 3,Top application candidate,partial,md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,Bentonville,Arkansas,AR,,Unscored,Unscored,Unscored,25-35 application pool,9.30,,9.30,,,,9.3,,,0.95,0,15,45,,,,,511,3.83,511,3.83,510-513,Greater than 3.79,3,low,assumed_match_no_match_third_party_candidate_single_source,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,36246,36246,aamc_public_report_safe_match,9.3,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality,Cost 9.3,,Cost 9.3,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality; low admissions stats data quality,Cost helps this school. Rank confidence is partial because scored input coverage is limited.,3,7.78,55,,,0,,,0,3,9.30,60,,,0,3,9.30,25,MD program,Alice L. Walton School of Medicine,Main campus,Preliminary,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,4,4,Decision Rank 4,Top application candidate,partial,md_kaiser_permanente_bernard_j_tyson_school_of_medicine_pasadena_california,Kaiser Permanente Bernard J. Tyson School of Medicine,MD,Pasadena,California,CA,,Unscored,Unscored,Unscored,25-35 application pool,9.10,,9.10,,,,9.1,,,0.95,0,15,45,,,,,514,3.78,514,3.78,514-517,3.60-3.79,3,low,third_party_published_average_low_quality,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,39636,39636,aamc_public_report_safe_match,9.1,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality,Cost 9.1,,Cost 9.1,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality; low admissions stats data quality,Cost helps this school. Rank confidence is partial because scored input coverage is limited.,4,7.62,55,,,0,,,0,4,9.10,60,,,0,4,9.10,25,MD program,Kaiser Permanente Bernard J. Tyson School of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,5,5,Decision Rank 5,Top application candidate,partial,md_southern_illinois_university_school_of_medicine_springfield_illinois,Southern Illinois University School of Medicine,MD,Springfield,Illinois,IL,,Unscored,Unscored,Unscored,25-35 application pool,7.00,,7.00,,,,7.0,,,0.95,0,15,45,,,,,510.5,3.45,510.5,3.45,510-513,3.40-3.59,3,low,third_party_published_average_low_quality,ProspectiveDoctor; Shemmassian; The Match Guy,http://www.siumed.edu/studentaffairs/admissions/home.html; http://med.wmich.edu/admissions; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,65706,65706,aamc_public_report_safe_match,7.0,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality,Cost 7,,Cost 7,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality; low admissions stats data quality,Cost helps this school. Rank confidence is partial because scored input coverage is limited.,5,5.90,55,,,0,,,0,5,7.00,60,,,0,5,7.00,25,MD program,Southern Illinois University School of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,6,6,Decision Rank 6,Top application candidate,partial,md_texas_a_and_m_university_naresh_k_vashisht_college_of_medicine_college_station_t,Texas A&M University Naresh K. Vashisht College of Medicine,MD,College Station,Texas,TX,,Unscored,Unscored,Unscored,25-35 application pool,6.80,,6.80,,,,6.8,,,0.95,0,15,45,,,,,,,,,,,,,,,,68880,68880,aamc_public_report_safe_match,6.8,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,6,5.74,55,,,0,,,0,6,6.80,60,,,0,6,6.80,25,MD program,Texas A&M University Naresh K. Vashisht College of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,7,7,Decision Rank 7,Top application candidate,partial,md_mcgovern_medical_school_at_uthealth_houston_houston_texas,McGovern Medical School at UTHealth Houston,MD,Houston,Texas,TX,,Unscored,Unscored,Unscored,25-35 application pool,6.70,,6.70,,,,6.7,,,0.95,0,15,45,,,,,,,,,,,,,,,,70147,70147,aamc_public_report_safe_match,6.7,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing school MCAT; missing school GPA; missing applicant state for OOS fit,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,7,5.65,55,,,0,,,0,7,6.70,60,,,0,7,6.70,25,MD program,McGovern Medical School at UTHealth Houston,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,7,7,Decision Rank 7,Top application candidate,partial,md_texas_tech_university_health_sciences_center_school_of_medicine_lubbock_texas,Texas Tech University Health Sciences Center School of Medicine,MD,Lubbock,Texas,TX,,Unscored,Unscored,Unscored,25-35 application pool,6.70,,6.70,,,,6.7,,,0.95,0,15,45,,,,,509.7,3.83,509.7,3.83,510-513,Greater than 3.79,1,high,approved_third_party_candidate_major_conflict,ProspectiveDoctor; Shemmassian; The Match Guy,http://elpaso.ttuhsc.edu/som/admissions/; http://www.ttuhsc.edu/som/admissions/; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,69478,69478,aamc_public_report_safe_match,6.7,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,7,5.65,55,,,0,,,0,7,6.70,60,,,0,7,6.70,25,MD program,Texas Tech University Health Sciences Center School of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,7,7,Decision Rank 7,Top application candidate,partial,md_university_of_houston_tilman_j_fertitta_family_college_of_medicine_houston_texas,University of Houston Tilman J. Fertitta Family College of Medicine,MD,Houston,Texas,TX,,Unscored,Unscored,Unscored,25-35 application pool,6.70,,6.70,,,,6.7,,,0.95,0,15,45,,,,,512,3.84,512,3.84,510-513,Greater than 3.79,3,low,third_party_published_average_low_quality,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,69714,69714,aamc_public_report_safe_match,6.7,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality; low admissions stats data quality,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,7,5.65,55,,,0,,,0,7,6.70,60,,,0,7,6.70,25,MD program,University of Houston Tilman J. Fertitta Family College of Medicine,Main campus,Provisional,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,10,10,Decision Rank 10,Top application candidate,partial,md_university_of_texas_rio_grande_valley_school_of_medicine_edinburg_texas,University of Texas Rio Grande Valley School of Medicine,MD,Edinburg,Texas,TX,,Unscored,Unscored,Unscored,25-35 application pool,6.50,,6.50,,,,6.5,,,0.95,0,15,45,,,,,509.5,3.79,509.5,3.79,510-513,3.60-3.79,2,medium,third_party_published_average_medium_quality,ProspectiveDoctor; Shemmassian,http://www.utrgv.edu/school-of-medicine/admissions-and-aid/index.htm; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,72360,72360,aamc_public_report_safe_match,6.5,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,10,5.49,55,,,0,,,0,10,6.50,60,,,0,10,6.50,25,MD program,University of Texas Rio Grande Valley School of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,11,11,Decision Rank 11,Top application candidate,partial,md_washington_state_university_elson_s_floyd_college_of_medicine_spokane_washington,Washington State University Elson S. Floyd College of Medicine,MD,Spokane,Washington,WA,,Unscored,Unscored,Unscored,25-35 application pool,6.30,,6.30,,,,6.3,,,0.95,0,15,45,,,,,507.9,3.64,507.9,3.64,506-509,3.60-3.79,1,high,third_party_published_average_high_quality,Shemmassian; The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,74688,74688,aamc_public_report_safe_match,6.3,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,11,5.33,55,,,0,,,0,11,6.30,60,,,0,11,6.30,25,MD program,Washington State University Elson S. Floyd College of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,12,12,Decision Rank 12,Top application candidate,partial,md_the_university_of_texas_at_san_antonio_joe_r_and_teresa_lozano_long_school_of_me,The University of Texas at San Antonio Joe R. and Teresa Lozano Long School of Medicine,MD,San Antonio,Texas,TX,,Unscored,Unscored,Unscored,25-35 application pool,6.20,,6.20,,,,6.2,,,0.95,0,15,45,,,,,517.6,3.87,517.6,3.87,Greater than 517,Greater than 3.79,3,low,assumed_match_review_third_party_candidate_single_source,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,75772,75772,aamc_public_report_safe_match,6.2,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit; low stats data quality; low admissions stats data quality,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,12,5.25,55,,,0,,,0,12,6.20,60,,,0,12,6.20,25,MD program,The University of Texas at San Antonio Joe R. and Teresa Lozano Long School of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,12,12,Decision Rank 12,Top application candidate,partial,md_the_university_of_texas_at_tyler_school_of_medicine_tyler_texas,The University of Texas at Tyler School of Medicine,MD,Tyler,Texas,TX,,Unscored,Unscored,Unscored,25-35 application pool,6.20,,6.20,,,,6.2,,,0.95,0,15,45,,,,,512,3.76,512,3.76,510-513,3.60-3.79,4,review,assumed_match_no_match_cycletrack_context_only_single_source,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer/school/Nova Southeastern,76476,76476,aamc_public_report_safe_match,6.2,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,12,5.25,55,,,0,,,0,12,6.20,60,,,0,12,6.20,25,MD program,The University of Texas at Tyler School of Medicine,Main campus,Preliminary,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
template_profile,Template Profile,public_template,14,14,Decision Rank 14,Top application candidate,partial,md_university_of_texas_medical_branch_john_sealy_school_of_medicine_galveston_texas,University of Texas Medical Branch John Sealy School of Medicine,MD,Galveston,Texas,TX,,Unscored,Unscored,Unscored,25-35 application pool,6.10,,6.10,,,,6.1,,,0.95,0,15,45,,,,,511.3,3.82,511.3,3.82,510-513,Greater than 3.79,2,medium,assumed_match_review_third_party_candidate_major_conflict,ProspectiveDoctor; Shemmassian; The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school; https://www.utmb.edu/enrollmentservices/resources/admissions,76991,76991,aamc_public_report_safe_match,6.1,,,,admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score,missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,,,,,missing: admissions_mcat_fit_score; admissions_gpa_fit_score; admissions_oos_friendliness_score; admissions_mission_fit_score; admissions_research_fit_score; admissions_clinical_fit_score; attendance_prestige_score; attendance_location_score; four_year_happiness_score; attendance_match_outcomes_score; attendance_research_score; attendance_culture_score; attendance_curriculum_score; warnings: missing applicant MCAT; missing applicant GPA; missing applicant state for OOS fit,The Decision Rank is driven by available scored components. Rank confidence is partial because scored input coverage is limited.,14,5.16,55,,,0,,,0,14,6.10,60,,,0,14,6.10,25,MD program,University of Texas Medical Branch John Sealy School of Medicine,Main campus,Full,FALSE,,unresearched,"School identity, city, state, and accreditation fields source-verified; scoring fields intentionally blank.",LCME Accredited Programs,https://lcme.org/directory/accredited-programs/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
